"","enc","exp","para01d","pseu01d","pseu03d","pseu04d","para02d","para03d","para04d","pseu08d","para05d","pseu09d","cons03d","cons04d","cono","inte","bene01d","cona03d","risk03i","acce03d","trus03d","risk04i","acce04d","bene04d","trus04d","cona04d","sexo","edad","naci","regi","ciud","alim","edu1","edu2","ingr","nsep","alca","reli","frel","etni","opol","tru1","tru2","tru3","tru4","tru5","tru6","tru7","pref1r","pref2r","pref3r","pref4r","pref5r","pref6r","fuen1r","fuen2r","fuen3r","fuen4r","fuen5r","fuen6r","fuen7r","fuen8r","fuen9r","pseu02r","pseu05r","pseu06r","pseu07r","cons01r","cons02r","pref1rn","pref2rn","pref3rn","pref4rn","pref5rn","pref6rn","pref1rt","pref2rt","pref3rt","pref4rt","pref5rt","pref6rt","pref1ro","pref2ro","pref3ro","pref4ro","pref5ro","pref6ro","risk01r","cona01r","acce01r","risk02r","cona02r","trus01r","acce02r","trus02r","bene02r","bene03r"
"26",1,3,"2","2","3","1","2","2","2","1","1","5","3","1",3,4,"1","2","2","2","2","4","2","2","3","2",1,20,1,12,1,1,3,4,5,3,2,14,1,0,2,"1","1","1","1","3","3","5",2,3,4,4,3,1,1,0,0,0,1,0,1,1,1,"5","2","2","1","1","2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"1","2","1","1","2","1","1","3","2","2"
"27",1,3,"1","5","5","5","3","3","3","1","3","4","1","3",4,4,"3","3","1","2","5","3","2","3","4","2",2,25,1,12,1,1,4,6,4,3,4,12,1,NA,7,"1","1","1","3","3","2","5",2,3,2,3,1,2,1,0,0,1,1,0,1,1,0,"3","1","1","1","1","1",1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,"1","1","1","1","3","1","1","4","3","3"
"28",1,3,"1","1","1","1","2","2","1","1","1","5","3","3",4,3,"5","5","5","4","4","5","3","5","4","4",2,34,1,9,2,1,8,8,8,3,3,1,1,NA,2,"2","3","3","3","4","4","1",4,3,3,3,1,2,1,1,0,0,0,0,0,0,0,"1","1","1","1","1","2",0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,"3","3","5","4","5","4","5","5","5","5"
"29",1,3,"1","1","3","4","1","3","3","1","3","5","3","3",3,4,"1","3","3","3","4","3","3","4","3","3",2,43,1,9,2,1,4,5,8,3,3,4,8,NA,7,"1","1","1","1","3","3","3",1,2,3,2,4,3,0,0,1,0,0,0,0,0,0,"3","3","2","2","3","2",0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,"1","1","1","3","3","2","3","5","3","3"
"30",1,3,"5","5","5","5","3","4","5","2","3","1","4","3",3,4,"3","1","1","1","1","1","1","2","5","1",1,41,1,12,1,1,5,5,9,4,4,1,3,0,4,"2","1","4","2","5","5","5",1,2,4,2,2,2,0,1,1,1,0,0,1,1,0,"3","1","1","1","1","3",0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,"1","1","1","1","4","1","1","5","1","3"
"31",1,3,"2","1","2","4","1","2","2","1","1","1","4","1",2,4,"2","1","1","2","1","3","1","3","1","1",1,45,1,13,2,1,7,7,1,4,3,13,1,NA,2,"2","2","2","2","4","4","4",4,4,1,4,2,3,0,0,1,1,0,0,0,1,0,"3","3","1","1","1","1",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,"2","1","1","2","1","1","1","5","2","2"
"32",1,3,"3","4","5","5","3","4","3","3","3","1","5","1",2,5,"4","2","2","3","2","4","3","3","3","3",1,62,1,12,1,1,5,5,9,3,4,12,1,NA,3,"2","2","2","3","4","3","5",4,3,4,1,4,3,0,1,0,0,0,0,0,0,0,"2","2","3","2","1","5",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,"2","1","1","2","2","1","3","4","3","4"
"33",1,3,"5","5","5","5","1","5","5","1","5","5","5","5",3,3,"1","1","1","1","1","1","1","1","5","1",2,29,1,9,2,1,5,6,9,3,4,1,4,NA,6,"1","1","5","1","3","3","5",2,2,2,2,2,3,0,0,0,0,0,0,0,0,1,"1","5","5","1","1","1",1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"1","1","1","1","1","1","1","5","1","1"
"34",1,4,"2","4","2","2","1","2","2","2","2","5","3","3",3,4,"4","2","2","2","5","2","2","4","2","2",2,30,1,13,2,2,5,5,7,3,3,13,1,NA,1,"2","2","2","1","4","2","5",2,3,3,2,1,2,1,1,1,1,0,1,1,1,1,"1","2","1","1","2","1",1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,"1","1","1","3","2","1","1","2","2","4"
"35",1,4,"5","4","4","2","3","3","4","2","4","4","3","3",3,4,"3","3","3","3","3","3","3","4","3","3",2,27,1,12,1,1,5,5,4,3,3,1,2,NA,7,"3","3","2","3","3","3","4",2,3,1,2,4,2,0,1,1,1,1,0,0,1,0,"2","2","2","1","2","2",1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,"3","3","3","2","3","2","3","3","3","3"
"36",1,4,"3","2","4","2","2","4","3","2","5","1","4","4",1,2,"3","4","3","4","3","2","2","4","4","3",1,24,1,12,1,1,3,5,10,3,3,12,1,NA,8,"3","3","3","3","3","2","3",2,3,3,4,4,2,0,0,0,0,0,1,0,1,0,"3","2","1","1","4","3",1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,"1","3","4","2","4","3","3","4","3","4"
"37",1,4,"2","3","3","2","2","3","2","2","2","2","3","3",2,4,"5","2","2","2","3","2","2","3","3","2",1,21,1,12,1,1,4,4,3,3,4,1,4,NA,7,"2","2","2","2","3","3","5",4,3,4,2,4,2,0,0,0,0,1,0,0,1,0,"2","2","2","1","2","3",0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,"2","2","2","3","2","3","2","3","2","2"
"38",1,4,"1","1","1","1","1","1","1","1","1","1","1","1",NA,3,"5","5","5","5","4","4","5","5","4","5",2,34,1,13,2,1,8,5,8,4,4,NA,1,NA,2,"4","3","4","3","4","4","5",1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,"1","1","1","1","1","1",0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,"5","5","5","5","5","5","5","5","5","5"
"39",1,4,"1","1","1","1","1","1","1","1","2","1","5","1",2,3,"1","3","1","3","5","3","3","5","5","3",2,29,1,13,2,1,3,NA,4,4,3,13,NA,NA,2,"1","1","3","1","5","3","5",1,2,3,4,2,3,0,0,0,1,0,1,1,1,0,"5","1","1","1","1","2",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,"1","1","1","5","3","5","5","5","5","3"
"40",1,4,"1","3","2","4","1","3","2","1","3","2","3","3",2,2,"3","3","3","3",NA,NA,NA,NA,NA,NA,2,20,1,12,1,1,3,5,2,3,4,14,1,NA,7,"2","2","2","3","3","3","3",2,4,4,4,2,2,0,0,0,1,0,0,0,0,0,"4","2","3","2","4","3",1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,"2","2","3","4","3","3","4","3","3",NA
"41",1,4,"4","1","1","5","1","1","3","1","1","5","3","3",NA,3,"5","4","4","4","4","4","4","4","4","4",1,34,1,12,1,1,7,8,7,4,4,2,1,NA,2,"1","2","1","1","4","2","5",1,2,3,2,3,3,0,0,0,0,0,0,0,1,0,"3","1","1","1","1","1",0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,"3","3","3","2","3","1","4","3","5","4"
"42",1,4,"1","2","3","4","1","3","1","1","2","1","2","2",3,3,"4","4","4","4","1","4","4","5","4","3",1,63,1,12,1,1,7,7,9,5,4,1,4,NA,NA,"2","2","2","4","4","3","3",2,2,3,1,2,3,0,0,1,0,0,0,0,1,1,"2","2","1","2","1","2",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"4","3","3","3","4","2","2","3","4","4"
"43",1,4,"4","4","4","4","2","5","3","2","3","3","3","2",3,3,"4","4","3","4","4","4","4","5","5","4",2,74,1,12,1,1,5,5,6,3,4,1,3,NA,6,"4","3","3","4","4","3","4",2,2,1,2,4,2,0,0,1,0,0,0,0,0,0,"2","1","2","2","1","1",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,"3","3","3","2","3","3","3","4","4","3"
